HDR,ROLLING SYSTEM DEMAND
VD,20201001000000,24475
VD,20201001000500,24741
VD,20201001001000,24715
VD,20201001001500,24652
VD,20201001002000,24704
VD,20201001002500,24694
VD,20201001003000,24694
VD,20201001003500,24853
VD,20201001004000,24864
VD,20201001004500,24794
VD,20201001005000,24714
VD,20201001005500,24699
VD,20201001010000,24534
VD,20201001010500,24392
VD,20201001011000,24343
VD,20201001011500,24309
VD,20201001012000,24177
VD,20201001012500,24074
VD,20201001013000,24026
VD,20201001013500,24034
VD,20201001014000,23999
VD,20201001014500,23929
VD,20201001015000,23921
VD,20201001015500,23848
VD,20201001020000,23711
VD,20201001020500,23673
VD,20201001021000,23565
VD,20201001021500,23544
VD,20201001022000,23534
VD,20201001022500,23523
VD,20201001023000,23500
VD,20201001023500,23504
VD,20201001024000,23391
VD,20201001024500,23250
VD,20201001025000,23131
VD,20201001025500,23236
VD,20201001030000,23203
VD,20201001030500,23217
VD,20201001031000,23246
VD,20201001031500,23168
VD,20201001032000,23099
VD,20201001032500,23164
VD,20201001033000,23160
VD,20201001033500,23153
VD,20201001034000,23105
VD,20201001034500,23166
VD,20201001035000,23226
VD,20201001035500,23231
VD,20201001040000,23068
VD,20201001040500,23149
VD,20201001041000,23154
VD,20201001041500,23232
VD,20201001042000,23467
VD,20201001042500,23544
VD,20201001043000,23670
VD,20201001043500,23968
VD,20201001044000,24203
VD,20201001044500,24365
VD,20201001045000,24590
VD,20201001045500,24861
VD,20201001050000,25199
VD,20201001050500,25416
VD,20201001051000,26059
VD,20201001051500,26568
VD,20201001052000,26992
VD,20201001052500,27309
VD,20201001053000,27741
VD,20201001053500,28215
VD,20201001054000,28756
VD,20201001054500,29195
VD,20201001055000,29565
VD,20201001055500,29969
VD,20201001060000,30245
VD,20201001060500,30977
VD,20201001061000,31470
VD,20201001061500,32032
VD,20201001062000,32287
VD,20201001062500,32818
VD,20201001063000,33196
VD,20201001063500,33607
VD,20201001064000,33885
VD,20201001064500,34077
VD,20201001065000,34319
VD,20201001065500,34495
